id,fecha_inicial,estado_encuesta,paraje,cantidad_personas
0,2021-08-19,Completa,breayoj,3
1,2021-08-19,Completa,breayoj,5
2,2021-08-19,Completa,breayoj,6
3,2021-08-19,Completa,breayoj,1
4,2021-08-19,Completa,breayoj,6
