id,fecha_inicial,estado_encuesta,paraje,cantidad_personas
24,2021-08-24,Completa,,5
25,2021-08-23,,breayoj,7
28,2021-08-24,,breayoj,3
29,2021-08-24,Completa,,8
74,2021-08-10,,colonia real sur,3
75,2021-08-30,,vacasnioj norte,7
99,2021-08-23,Imposibilitada,,0
128,2021-09-01,,novillo pozo,0
137,2021-08-24,Completa,,1
139,2021-09-01,,tacon esquina,5
151,2021-08-31,Completa,,2
163,2021-09-03,Completa,,6
196,2021-08-30,,vacasnioj,2
212,2021-08-25,Completa,,1
228,2021-08-19,,colonia real norte,1
234,2021-08-18,,colonia real norte,0
244,2021-08-19,Completa,,4
262,2021-08-18,,santo domingo,5
274,2021-08-13,Completa,,2
280,2021-08-12,Completa,,8
292,2021-08-23,,bracho laguna,3
315,2021-08-24,,bracho laguna,4
316,2021-08-18,,puente negro,0
331,2021-08-17,,puente negro,4
339,2021-08-12,Completa,,1
350,2021-08-24,Completa,,3
351,2021-09-01,Imposibilitada,,0
355,2021-08-30,,mancapa,9
